"Date","Start (ET)","Visitor/Neutral","PTS...4","Home/Neutral","PTS...6","...7","...8","Attend.","Arena","Notes","Miami"
"Wed, Oct 19, 2022","7:30p","Chicago Bulls",116,"Miami Heat",108,"Box Score",NA,19600,"Kaseya Center",NA,108
"Fri, Oct 21, 2022","7:30p","Boston Celtics",111,"Miami Heat",104,"Box Score",NA,19600,"Kaseya Center",NA,104
"Sat, Oct 22, 2022","8:00p","Toronto Raptors",109,"Miami Heat",112,"Box Score",NA,19600,"Kaseya Center",NA,112
"Mon, Oct 24, 2022","7:30p","Toronto Raptors",98,"Miami Heat",90,"Box Score",NA,19600,"Kaseya Center",NA,90
"Wed, Oct 26, 2022","10:00p","Miami Heat",119,"Portland Trail Blazers",98,"Box Score",NA,18588,"Moda Center",NA,119
"Thu, Oct 27, 2022","10:00p","Miami Heat",110,"Golden State Warriors",123,"Box Score",NA,18064,"Chase Center",NA,110
"Sat, Oct 29, 2022","6:00p","Miami Heat",113,"Sacramento Kings",119,"Box Score",NA,14618,"Golden 1 Center",NA,113
"Tue, Nov 1, 2022","7:30p","Golden State Warriors",109,"Miami Heat",116,"Box Score",NA,19600,"Kaseya Center",NA,116
"Wed, Nov 2, 2022","7:30p","Sacramento Kings",107,"Miami Heat",110,"Box Score",NA,19600,"Kaseya Center",NA,110
"Fri, Nov 4, 2022","7:00p","Miami Heat",99,"Indiana Pacers",101,"Box Score",NA,13141,"Gainbridge Fieldhouse",NA,99
"Mon, Nov 7, 2022","8:30p","Portland Trail Blazers",110,"Miami Heat",107,"Box Score",NA,19600,"Kaseya Center",NA,107
"Thu, Nov 10, 2022","7:30p","Charlotte Hornets",112,"Miami Heat",117,"Box Score","OT",19600,"Kaseya Center",NA,117
"Sat, Nov 12, 2022","8:00p","Charlotte Hornets",115,"Miami Heat",132,"Box Score",NA,19600,"Kaseya Center",NA,132
"Mon, Nov 14, 2022","7:30p","Phoenix Suns",112,"Miami Heat",113,"Box Score",NA,19600,"Kaseya Center",NA,113
"Wed, Nov 16, 2022","7:30p","Miami Heat",104,"Toronto Raptors",112,"Box Score",NA,19800,"Scotiabank Arena",NA,104
"Fri, Nov 18, 2022","7:00p","Miami Heat",106,"Washington Wizards",107,"Box Score","OT",18772,"Capital One Arena",NA,106
"Sun, Nov 20, 2022","7:00p","Miami Heat",87,"Cleveland Cavaliers",113,"Box Score",NA,19432,"Rocket Mortgage Fieldhouse",NA,87
"Mon, Nov 21, 2022","8:00p","Miami Heat",101,"Minnesota Timberwolves",105,"Box Score",NA,16583,"Target Center",NA,101
"Wed, Nov 23, 2022","7:30p","Washington Wizards",105,"Miami Heat",113,"Box Score",NA,19600,"Kaseya Center",NA,113
"Fri, Nov 25, 2022","8:00p","Washington Wizards",107,"Miami Heat",110,"Box Score",NA,19600,"Kaseya Center",NA,110
"Sun, Nov 27, 2022","5:00p","Miami Heat",106,"Atlanta Hawks",98,"Box Score",NA,17268,"State Farm Arena",NA,106
"Wed, Nov 30, 2022","7:30p","Miami Heat",121,"Boston Celtics",134,"Box Score",NA,19156,"TD Garden",NA,121
"Fri, Dec 2, 2022","7:30p","Miami Heat",120,"Boston Celtics",116,"Box Score","OT",19156,"TD Garden",NA,120
"Mon, Dec 5, 2022","8:00p","Miami Heat",93,"Memphis Grizzlies",101,"Box Score",NA,16122,"FedEx Forum",NA,93
"Tue, Dec 6, 2022","7:30p","Detroit Pistons",116,"Miami Heat",96,"Box Score",NA,19600,"Kaseya Center",NA,96
"Thu, Dec 8, 2022","7:30p","Los Angeles Clippers",110,"Miami Heat",115,"Box Score",NA,19600,"Kaseya Center",NA,115
"Sat, Dec 10, 2022","5:00p","San Antonio Spurs",115,"Miami Heat",111,"Box Score",NA,19600,"Kaseya Center",NA,111
"Mon, Dec 12, 2022","7:00p","Miami Heat",87,"Indiana Pacers",82,"Box Score",NA,15309,"Gainbridge Fieldhouse",NA,87
"Wed, Dec 14, 2022","8:00p","Miami Heat",110,"Oklahoma City Thunder",108,"Box Score",NA,14783,"Paycom Center",NA,110
"Thu, Dec 15, 2022","8:00p","Miami Heat",111,"Houston Rockets",108,"Box Score",NA,16210,"Toyota Center",NA,111
"Sat, Dec 17, 2022","5:00p","Miami Heat",111,"San Antonio Spurs",101,"Box Score",NA,20160,"Mexico City Arena",NA,111
"Tue, Dec 20, 2022","7:30p","Chicago Bulls",113,"Miami Heat",103,"Box Score",NA,19969,"Kaseya Center",NA,103
"Fri, Dec 23, 2022","8:00p","Indiana Pacers",111,"Miami Heat",108,"Box Score",NA,19600,"Kaseya Center",NA,108
"Mon, Dec 26, 2022","7:30p","Minnesota Timberwolves",110,"Miami Heat",113,"Box Score",NA,19911,"Kaseya Center",NA,113
"Wed, Dec 28, 2022","7:30p","Los Angeles Lakers",98,"Miami Heat",112,"Box Score",NA,20221,"Kaseya Center",NA,112
"Fri, Dec 30, 2022","9:00p","Miami Heat",119,"Denver Nuggets",124,"Box Score",NA,19638,"Ball Arena",NA,119
"Sat, Dec 31, 2022","9:00p","Miami Heat",126,"Utah Jazz",123,"Box Score",NA,18206,"Vivint Arena",NA,126
"Mon, Jan 2, 2023","10:30p","Miami Heat",110,"Los Angeles Clippers",100,"Box Score",NA,19068,"Crypto.com Arena",NA,110
"Wed, Jan 4, 2023","10:00p","Miami Heat",109,"Los Angeles Lakers",112,"Box Score",NA,18997,"Crypto.com Arena",NA,109
"Fri, Jan 6, 2023","10:00p","Miami Heat",104,"Phoenix Suns",96,"Box Score",NA,17071,"Footprint Center",NA,104
"Sun, Jan 8, 2023","6:00p","Brooklyn Nets",102,"Miami Heat",101,"Box Score",NA,19901,"Kaseya Center",NA,101
"Tue, Jan 10, 2023","7:30p","Oklahoma City Thunder",111,"Miami Heat",112,"Box Score",NA,19600,"Kaseya Center",NA,112
"Thu, Jan 12, 2023","7:30p","Milwaukee Bucks",102,"Miami Heat",108,"Box Score",NA,19600,"Kaseya Center",NA,108
"Sat, Jan 14, 2023","1:00p","Milwaukee Bucks",95,"Miami Heat",111,"Box Score",NA,19620,"Kaseya Center",NA,111
"Mon, Jan 16, 2023","3:30p","Miami Heat",113,"Atlanta Hawks",121,"Box Score",NA,18007,"State Farm Arena",NA,113
"Wed, Jan 18, 2023","8:00p","Miami Heat",124,"New Orleans Pelicans",98,"Box Score",NA,17736,"Smoothie King Center",NA,124
"Fri, Jan 20, 2023","7:30p","Miami Heat",90,"Dallas Mavericks",115,"Box Score",NA,20326,"American Airlines Center",NA,90
"Sun, Jan 22, 2023","3:30p","New Orleans Pelicans",96,"Miami Heat",100,"Box Score",NA,19600,"Kaseya Center",NA,100
"Tue, Jan 24, 2023","7:30p","Boston Celtics",95,"Miami Heat",98,"Box Score",NA,19705,"Kaseya Center",NA,98
"Fri, Jan 27, 2023","8:00p","Orlando Magic",105,"Miami Heat",110,"Box Score",NA,19788,"Kaseya Center",NA,110
"Sun, Jan 29, 2023","1:00p","Miami Heat",117,"Charlotte Hornets",122,"Box Score",NA,19254,"Spectrum Center",NA,117
"Tue, Jan 31, 2023","7:00p","Miami Heat",100,"Cleveland Cavaliers",97,"Box Score",NA,19432,"Rocket Mortgage Fieldhouse",NA,100
"Thu, Feb 2, 2023","7:30p","Miami Heat",104,"New York Knicks",106,"Box Score",NA,19044,"Madison Square Garden (IV)",NA,104
"Sat, Feb 4, 2023","8:00p","Miami Heat",115,"Milwaukee Bucks",123,"Box Score",NA,18008,"Fiserv Forum",NA,115
"Wed, Feb 8, 2023","7:30p","Indiana Pacers",111,"Miami Heat",116,"Box Score",NA,19600,"Kaseya Center",NA,116
"Fri, Feb 10, 2023","8:00p","Houston Rockets",95,"Miami Heat",97,"Box Score",NA,19600,"Kaseya Center",NA,97
"Sat, Feb 11, 2023","7:00p","Miami Heat",107,"Orlando Magic",103,"Box Score","OT",18223,"Amway Center",NA,107
"Mon, Feb 13, 2023","7:30p","Denver Nuggets",112,"Miami Heat",108,"Box Score",NA,19755,"Kaseya Center",NA,108
"Wed, Feb 15, 2023","7:30p","Miami Heat",105,"Brooklyn Nets",116,"Box Score",NA,17963,"Barclays Center",NA,105
"Fri, Feb 24, 2023","7:30p","Miami Heat",99,"Milwaukee Bucks",128,"Box Score",NA,17676,"Fiserv Forum",NA,99
"Sat, Feb 25, 2023","7:00p","Miami Heat",103,"Charlotte Hornets",108,"Box Score",NA,19109,"Spectrum Center",NA,103
"Mon, Feb 27, 2023","7:00p","Miami Heat",101,"Philadelphia 76ers",99,"Box Score",NA,20859,"Wells Fargo Center",NA,101
"Wed, Mar 1, 2023","7:30p","Philadelphia 76ers",119,"Miami Heat",96,"Box Score",NA,19600,"Kaseya Center",NA,96
"Fri, Mar 3, 2023","8:00p","New York Knicks",122,"Miami Heat",120,"Box Score",NA,19600,"Kaseya Center",NA,120
"Sat, Mar 4, 2023","8:00p","Atlanta Hawks",109,"Miami Heat",117,"Box Score",NA,19600,"Kaseya Center",NA,117
"Mon, Mar 6, 2023","7:30p","Atlanta Hawks",128,"Miami Heat",130,"Box Score",NA,19600,"Kaseya Center",NA,130
"Wed, Mar 8, 2023","7:30p","Cleveland Cavaliers",104,"Miami Heat",100,"Box Score",NA,19600,"Kaseya Center",NA,100
"Fri, Mar 10, 2023","8:00p","Cleveland Cavaliers",115,"Miami Heat",119,"Box Score",NA,19757,"Kaseya Center",NA,119
"Sat, Mar 11, 2023","7:00p","Miami Heat",114,"Orlando Magic",126,"Box Score","OT",17347,"Amway Center",NA,114
"Mon, Mar 13, 2023","7:30p","Utah Jazz",115,"Miami Heat",119,"Box Score",NA,19721,"Kaseya Center",NA,119
"Wed, Mar 15, 2023","7:30p","Memphis Grizzlies",119,"Miami Heat",138,"Box Score",NA,19794,"Kaseya Center",NA,138
"Sat, Mar 18, 2023","8:00p","Miami Heat",99,"Chicago Bulls",113,"Box Score",NA,20094,"United Center",NA,99
"Sun, Mar 19, 2023","6:00p","Miami Heat",112,"Detroit Pistons",100,"Box Score",NA,20190,"Little Caesars Arena",NA,112
"Wed, Mar 22, 2023","7:30p","New York Knicks",120,"Miami Heat",127,"Box Score",NA,19863,"Kaseya Center",NA,127
"Sat, Mar 25, 2023","8:00p","Brooklyn Nets",129,"Miami Heat",100,"Box Score",NA,19680,"Kaseya Center",NA,100
"Tue, Mar 28, 2023","7:30p","Miami Heat",92,"Toronto Raptors",106,"Box Score",NA,19800,"Scotiabank Arena",NA,92
"Wed, Mar 29, 2023","7:30p","Miami Heat",92,"New York Knicks",101,"Box Score",NA,19812,"Madison Square Garden (IV)",NA,92
"Sat, Apr 1, 2023","7:30p","Dallas Mavericks",122,"Miami Heat",129,"Box Score",NA,20011,"Kaseya Center",NA,129
"Tue, Apr 4, 2023","7:00p","Miami Heat",118,"Detroit Pistons",105,"Box Score",NA,18453,"Little Caesars Arena",NA,118
"Thu, Apr 6, 2023","7:30p","Miami Heat",129,"Philadelphia 76ers",101,"Box Score",NA,21178,"Wells Fargo Center",NA,129
"Fri, Apr 7, 2023","7:00p","Miami Heat",108,"Washington Wizards",114,"Box Score",NA,20476,"Capital One Arena",NA,108
"Sun, Apr 9, 2023","1:00p","Orlando Magic",110,"Miami Heat",123,"Box Score",NA,19894,"Kaseya Center",NA,123
