"Winning_team","Losing_team","Winning","Losing"
"Oklahoma City Thunder","Los Angeles Lakers",133,130
"Cleveland Cavaliers","Detroit Pistons",113,85
"Washington Wizards","Charlotte Hornets",118,104
"Boston Celtics","Philadelphia 76ers",106,99
"Miami Heat","Indiana Pacers",116,111
"Toronto Raptors","San Antonio Spurs",112,98
"Sacramento Kings","Houston Rockets",130,128
"Minnesota Timberwolves","Utah Jazz",143,118
"Dallas Mavericks","Los Angeles Clippers",110,104
"Portland Trail Blazers","Golden State Warriors",125,122
"Orlando Magic","Denver Nuggets",115,104
"Atlanta Hawks","Phoenix Suns",116,107
"Brooklyn Nets","Chicago Bulls",116,105
"Milwaukee Bucks","Los Angeles Lakers",115,106
"Detroit Pistons","San Antonio Spurs",138,131
"Phoenix Suns","Indiana Pacers",117,104
"Philadelphia 76ers","New York Knicks",119,108
"Boston Celtics","Charlotte Hornets",127,116
"Utah Jazz","Toronto Raptors",122,116
"Memphis Grizzlies","Minnesota Timberwolves",128,107
"Miami Heat","Houston Rockets",97,95
"Cleveland Cavaliers","New Orleans Pelicans",118,107
"Oklahoma City Thunder","Portland Trail Blazers",138,129
"Dallas Mavericks","Sacramento Kings",122,114
"Milwaukee Bucks","Los Angeles Clippers",119,106
"Philadelphia 76ers","Brooklyn Nets",101,98
"Denver Nuggets","Charlotte Hornets",119,105
"Miami Heat","Orlando Magic",107,103
"Washington Wizards","Indiana Pacers",127,113
"Atlanta Hawks","San Antonio Spurs",125,106
"New York Knicks","Utah Jazz",126,120
"Cleveland Cavaliers","Chicago Bulls",97,89
"Los Angeles Lakers","Golden State Warriors",109,103
"Sacramento Kings","Dallas Mavericks",133,128
"Boston Celtics","Memphis Grizzlies",119,109
"Toronto Raptors","Detroit Pistons",119,118
"Charlotte Hornets","Atlanta Hawks",144,138
"Cleveland Cavaliers","San Antonio Spurs",117,109
"Utah Jazz","Indiana Pacers",123,117
"Philadelphia 76ers","Houston Rockets",123,104
"Denver Nuggets","Miami Heat",112,108
"New York Knicks","Brooklyn Nets",124,106
"Orlando Magic","Chicago Bulls",100,91
"New Orleans Pelicans","Oklahoma City Thunder",103,100
"Minnesota Timberwolves","Dallas Mavericks",124,121
"Golden State Warriors","Washington Wizards",135,126
"Portland Trail Blazers","Los Angeles Lakers",127,115
"Milwaukee Bucks","Boston Celtics",131,125
"Toronto Raptors","Orlando Magic",123,113
"Phoenix Suns","Sacramento Kings",120,109
"Los Angeles Clippers","Golden State Warriors",134,124
"Washington Wizards","Portland Trail Blazers",126,101
"Charlotte Hornets","San Antonio Spurs",120,110
"Indiana Pacers","Chicago Bulls",117,113
"New York Knicks","Atlanta Hawks",122,101
"Boston Celtics","Detroit Pistons",127,109
"Brooklyn Nets","Miami Heat",116,105
"Philadelphia 76ers","Cleveland Cavaliers",118,112
"Memphis Grizzlies","Utah Jazz",117,111
"Oklahoma City Thunder","Houston Rockets",133,96
"Denver Nuggets","Dallas Mavericks",118,109
"Los Angeles Lakers","New Orleans Pelicans",120,102
"Milwaukee Bucks","Chicago Bulls",112,100
"Washington Wizards","Minnesota Timberwolves",114,106
"Los Angeles Clippers","Phoenix Suns",116,107
"Denver Nuggets","Cleveland Cavaliers",115,109
"Boston Celtics","Indiana Pacers",142,138
"Orlando Magic","Detroit Pistons",108,106
"Philadelphia 76ers","Memphis Grizzlies",110,105
"Toronto Raptors","New Orleans Pelicans",115,110
"Dallas Mavericks","San Antonio Spurs",142,116
"Utah Jazz","Oklahoma City Thunder",120,119
"Los Angeles Lakers","Golden State Warriors",124,111
"Sacramento Kings","Portland Trail Blazers",133,116
"New York Knicks","Washington Wizards",115,109
"Atlanta Hawks","Cleveland Cavaliers",136,119
"Milwaukee Bucks","Miami Heat",128,99
"Chicago Bulls","Brooklyn Nets",131,87
"Charlotte Hornets","Minnesota Timberwolves",121,113
"Golden State Warriors","Houston Rockets",116,101
"Phoenix Suns","Oklahoma City Thunder",124,115
"Sacramento Kings","Los Angeles Clippers",176,175
"Toronto Raptors","Detroit Pistons",95,91
"Charlotte Hornets","Miami Heat",108,103
"Indiana Pacers","Orlando Magic",121,108
"New York Knicks","New Orleans Pelicans",128,106
"Memphis Grizzlies","Denver Nuggets",112,94
"Boston Celtics","Philadelphia 76ers",110,107
"Utah Jazz","San Antonio Spurs",118,102
"Milwaukee Bucks","Phoenix Suns",104,101
"Atlanta Hawks","Brooklyn Nets",129,127
"Chicago Bulls","Washington Wizards",102,82
"Los Angeles Lakers","Dallas Mavericks",111,108
"Cleveland Cavaliers","Toronto Raptors",118,93
"Sacramento Kings","Oklahoma City Thunder",124,115
"Golden State Warriors","Minnesota Timberwolves",109,104
"Portland Trail Blazers","Houston Rockets",131,114
"Denver Nuggets","Los Angeles Clippers",134,124
"Charlotte Hornets","Detroit Pistons",117,106
"Miami Heat","Philadelphia 76ers",101,99
"New York Knicks","Boston Celtics",109,94
"Orlando Magic","New Orleans Pelicans",101,93
"Washington Wizards","Atlanta Hawks",119,116
"Milwaukee Bucks","Brooklyn Nets",118,104
"Memphis Grizzlies","Los Angeles Lakers",121,109
"Toronto Raptors","Chicago Bulls",104,98
"Denver Nuggets","Houston Rockets",133,112
"Sacramento Kings","Oklahoma City Thunder",123,117
"Indiana Pacers","Dallas Mavericks",124,122
"San Antonio Spurs","Utah Jazz",102,94
"Golden State Warriors","Portland Trail Blazers",123,105
"Minnesota Timberwolves","Los Angeles Clippers",108,101
"Phoenix Suns","Charlotte Hornets",105,91
"Chicago Bulls","Detroit Pistons",117,115
"Boston Celtics","Cleveland Cavaliers",117,113
"Philadelphia 76ers","Miami Heat",119,96
"New York Knicks","Brooklyn Nets",142,118
"Memphis Grizzlies","Houston Rockets",113,99
"Milwaukee Bucks","Orlando Magic",139,117
"Los Angeles Lakers","Oklahoma City Thunder",123,117
"New Orleans Pelicans","Portland Trail Blazers",121,110
"Washington Wizards","Toronto Raptors",119,108
"Dallas Mavericks","Philadelphia 76ers",133,126
"San Antonio Spurs","Indiana Pacers",110,99
"Golden State Warriors","Los Angeles Clippers",115,91
"Orlando Magic","Charlotte Hornets",117,106
"Atlanta Hawks","Portland Trail Blazers",129,111
"Brooklyn Nets","Boston Celtics",115,105
"Phoenix Suns","Chicago Bulls",125,104
"New York Knicks","Miami Heat",122,120
"Oklahoma City Thunder","Utah Jazz",130,103
"Denver Nuggets","Memphis Grizzlies",113,97
"Golden State Warriors","New Orleans Pelicans",108,99
"Sacramento Kings","Los Angeles Clippers",128,127
"Minnesota Timberwolves","Los Angeles Lakers",110,102
"Toronto Raptors","Washington Wizards",116,109
"Cleveland Cavaliers","Detroit Pistons",114,90
"Miami Heat","Atlanta Hawks",117,109
"Houston Rockets","San Antonio Spurs",122,110
"Philadelphia 76ers","Milwaukee Bucks",133,130
"Minnesota Timberwolves","Sacramento Kings",138,134
"Phoenix Suns","Dallas Mavericks",130,126
"Indiana Pacers","Chicago Bulls",125,122
"Los Angeles Lakers","Golden State Warriors",113,105
"Brooklyn Nets","Charlotte Hornets",102,86
"Portland Trail Blazers","Orlando Magic",122,119
"Houston Rockets","San Antonio Spurs",142,110
"Oklahoma City Thunder","Utah Jazz",129,119
"New York Knicks","Boston Celtics",131,129
"Milwaukee Bucks","Washington Wizards",117,111
"Los Angeles Clippers","Memphis Grizzlies",135,129
"Cleveland Cavaliers","Boston Celtics",118,114
"Portland Trail Blazers","Detroit Pistons",110,104
"Philadelphia 76ers","Indiana Pacers",147,143
"Miami Heat","Atlanta Hawks",130,128
"Denver Nuggets","Toronto Raptors",118,113
"Sacramento Kings","New Orleans Pelicans",123,108
"Washington Wizards","Detroit Pistons",119,117
"Milwaukee Bucks","Orlando Magic",134,123
"Philadelphia 76ers","Minnesota Timberwolves",117,94
"Charlotte Hornets","New York Knicks",112,105
"Brooklyn Nets","Houston Rockets",118,96
"Oklahoma City Thunder","Golden State Warriors",137,128
"Dallas Mavericks","Utah Jazz",120,116
"Los Angeles Lakers","Memphis Grizzlies",112,103
"Atlanta Hawks","Washington Wizards",122,120
"Boston Celtics","Portland Trail Blazers",115,93
"Cleveland Cavaliers","Miami Heat",104,100
"New Orleans Pelicans","Dallas Mavericks",113,106
"Chicago Bulls","Denver Nuggets",117,96
"Phoenix Suns","Oklahoma City Thunder",132,101
"Los Angeles Clippers","Toronto Raptors",108,100
"Charlotte Hornets","Detroit Pistons",113,103
"Indiana Pacers","Houston Rockets",134,125
"Utah Jazz","Orlando Magic",131,124
"Memphis Grizzlies","Golden State Warriors",131,110
"Milwaukee Bucks","Brooklyn Nets",118,113
"Sacramento Kings","New York Knicks",122,117
"Philadelphia 76ers","Portland Trail Blazers",120,119
"Atlanta Hawks","Washington Wizards",114,107
"Miami Heat","Cleveland Cavaliers",119,115
"Brooklyn Nets","Minnesota Timberwolves",124,123
"San Antonio Spurs","Denver Nuggets",128,120
"Los Angeles Lakers","Toronto Raptors",122,112
"Los Angeles Clippers","New York Knicks",106,95
"Utah Jazz","Charlotte Hornets",119,111
"Indiana Pacers","Detroit Pistons",121,115
"Orlando Magic","Miami Heat",126,114
"Boston Celtics","Atlanta Hawks",134,125
"Chicago Bulls","Houston Rockets",119,111
"Memphis Grizzlies","Dallas Mavericks",112,108
"Golden State Warriors","Milwaukee Bucks",125,116
"Oklahoma City Thunder","New Orleans Pelicans",110,96
"Sacramento Kings","Phoenix Suns",128,119
"Brooklyn Nets","Denver Nuggets",122,120
"Cleveland Cavaliers","Charlotte Hornets",114,108
"Philadelphia 76ers","Washington Wizards",112,93
"New Orleans Pelicans","Portland Trail Blazers",127,110
"Oklahoma City Thunder","San Antonio Spurs",102,90
"New York Knicks","Los Angeles Lakers",112,108
"Detroit Pistons","Indiana Pacers",117,97
"Minnesota Timberwolves","Atlanta Hawks",136,115
"Memphis Grizzlies","Dallas Mavericks",104,88
"Miami Heat","Utah Jazz",119,115
"Houston Rockets","Boston Celtics",111,109
"Golden State Warriors","Phoenix Suns",123,112
"Milwaukee Bucks","Sacramento Kings",133,124
"Cleveland Cavaliers","Charlotte Hornets",120,104
"Washington Wizards","Detroit Pistons",117,97
"Toronto Raptors","Denver Nuggets",125,110
"Los Angeles Lakers","New Orleans Pelicans",123,108
"Oklahoma City Thunder","Brooklyn Nets",121,107
"San Antonio Spurs","Orlando Magic",132,114
"Milwaukee Bucks","Phoenix Suns",116,104
"New York Knicks","Portland Trail Blazers",123,107
"Philadelphia 76ers","Cleveland Cavaliers",118,109
"Miami Heat","Memphis Grizzlies",138,119
"Sacramento Kings","Chicago Bulls",117,114
"Houston Rockets","Los Angeles Lakers",114,110
"Boston Celtics","Minnesota Timberwolves",104,102
"Dallas Mavericks","San Antonio Spurs",137,128
"Los Angeles Clippers","Golden State Warriors",134,126
"Denver Nuggets","Detroit Pistons",119,100
"Sacramento Kings","Brooklyn Nets",101,96
"Toronto Raptors","Oklahoma City Thunder",128,111
"Indiana Pacers","Milwaukee Bucks",139,123
"Phoenix Suns","Orlando Magic",116,113
"Philadelphia 76ers","Charlotte Hornets",121,82
"Atlanta Hawks","Golden State Warriors",127,119
"Cleveland Cavaliers","Washington Wizards",117,94
"Chicago Bulls","Minnesota Timberwolves",139,131
"Houston Rockets","New Orleans Pelicans",114,112
"Memphis Grizzlies","San Antonio Spurs",126,120
"Boston Celtics","Portland Trail Blazers",126,112
"Dallas Mavericks","Los Angeles Lakers",111,110
"New York Knicks","Denver Nuggets",116,110
"Orlando Magic","Los Angeles Clippers",113,108
"Philadelphia 76ers","Indiana Pacers",141,121
"Toronto Raptors","Minnesota Timberwolves",122,107
"Chicago Bulls","Miami Heat",113,99
"Memphis Grizzlies","Golden State Warriors",133,119
"Sacramento Kings","Washington Wizards",132,118
"Utah Jazz","Boston Celtics",118,117
"Denver Nuggets","Brooklyn Nets",108,102
"Oklahoma City Thunder","Phoenix Suns",124,120
"San Antonio Spurs","Atlanta Hawks",126,118
"Miami Heat","Detroit Pistons",112,100
"New Orleans Pelicans","Houston Rockets",117,107
"Milwaukee Bucks","Toronto Raptors",118,111
"Los Angeles Clippers","Portland Trail Blazers",117,102
"Los Angeles Lakers","Orlando Magic",111,105
"Charlotte Hornets","Indiana Pacers",115,109
"Chicago Bulls","Philadelphia 76ers",109,105
"Minnesota Timberwolves","New York Knicks",140,134
"Golden State Warriors","Houston Rockets",121,108
"Memphis Grizzlies","Dallas Mavericks",112,108
"Utah Jazz","Sacramento Kings",128,120
"Orlando Magic","Washington Wizards",122,112
"Atlanta Hawks","Detroit Pistons",129,107
"Cleveland Cavaliers","Brooklyn Nets",115,109
"New Orleans Pelicans","San Antonio Spurs",119,84
"Boston Celtics","Sacramento Kings",132,109
"Oklahoma City Thunder","Los Angeles Clippers",101,100
"Denver Nuggets","Washington Wizards",118,104
"Golden State Warriors","Dallas Mavericks",127,125
"Miami Heat","New York Knicks",127,120
"Indiana Pacers","Toronto Raptors",118,114
"Philadelphia 76ers","Chicago Bulls",116,91
"Memphis Grizzlies","Houston Rockets",130,125
"Milwaukee Bucks","San Antonio Spurs",130,94
"Minnesota Timberwolves","Atlanta Hawks",125,124
"Portland Trail Blazers","Utah Jazz",127,115
"Los Angeles Lakers","Phoenix Suns",122,111
"Orlando Magic","New York Knicks",111,106
"Cleveland Cavaliers","Brooklyn Nets",116,114
"New Orleans Pelicans","Charlotte Hornets",115,96
"Los Angeles Clippers","Oklahoma City Thunder",127,105
"Boston Celtics","Indiana Pacers",120,95
"Washington Wizards","San Antonio Spurs",136,124
"Toronto Raptors","Detroit Pistons",118,97
"Memphis Grizzlies","Houston Rockets",151,114
"Charlotte Hornets","Dallas Mavericks",117,109
"Milwaukee Bucks","Utah Jazz",144,116
"Golden State Warriors","Philadelphia 76ers",120,112
"Chicago Bulls","Portland Trail Blazers",124,96
"Sacramento Kings","Phoenix Suns",135,127
"Los Angeles Lakers","Oklahoma City Thunder",116,111
"Atlanta Hawks","Indiana Pacers",143,130
"Brooklyn Nets","Miami Heat",129,100
"Denver Nuggets","Milwaukee Bucks",129,106
"Phoenix Suns","Philadelphia 76ers",125,105
"Sacramento Kings","Utah Jazz",121,113
"New Orleans Pelicans","Los Angeles Clippers",131,110
"Charlotte Hornets","Dallas Mavericks",110,104
"Chicago Bulls","Los Angeles Lakers",118,108
"Memphis Grizzlies","Atlanta Hawks",123,119
"Boston Celtics","San Antonio Spurs",137,93
"Cleveland Cavaliers","Houston Rockets",108,91
"Orlando Magic","Brooklyn Nets",119,106
"Toronto Raptors","Washington Wizards",114,104
"Oklahoma City Thunder","Portland Trail Blazers",118,112
"Minnesota Timberwolves","Golden State Warriors",99,96
"Milwaukee Bucks","Detroit Pistons",126,117
"Dallas Mavericks","Indiana Pacers",127,104
"New York Knicks","Houston Rockets",137,115
"Phoenix Suns","Utah Jazz",117,103
"Denver Nuggets","Philadelphia 76ers",116,111
"New Orleans Pelicans","Portland Trail Blazers",124,90
"Minnesota Timberwolves","Sacramento Kings",119,115
"Los Angeles Clippers","Chicago Bulls",124,112
"Washington Wizards","Boston Celtics",130,111
"Atlanta Hawks","Cleveland Cavaliers",120,118
"Toronto Raptors","Miami Heat",106,92
"Memphis Grizzlies","Orlando Magic",113,108
"Charlotte Hornets","Oklahoma City Thunder",137,134
"Golden State Warriors","New Orleans Pelicans",120,109
"Milwaukee Bucks","Indiana Pacers",149,136
"Brooklyn Nets","Houston Rockets",123,114
"New York Knicks","Miami Heat",101,92
"Philadelphia 76ers","Dallas Mavericks",116,108
"Los Angeles Lakers","Chicago Bulls",121,110
"Los Angeles Clippers","Memphis Grizzlies",141,132
"Oklahoma City Thunder","Detroit Pistons",107,106
"Utah Jazz","San Antonio Spurs",128,117
"Phoenix Suns","Minnesota Timberwolves",107,100
"Sacramento Kings","Portland Trail Blazers",120,80
"Boston Celtics","Milwaukee Bucks",140,99
"New Orleans Pelicans","Denver Nuggets",107,88
"Chicago Bulls","Charlotte Hornets",121,91
"Indiana Pacers","Oklahoma City Thunder",121,117
"Philadelphia 76ers","Toronto Raptors",117,110
"Orlando Magic","Washington Wizards",116,109
"Boston Celtics","Utah Jazz",122,114
"Brooklyn Nets","Atlanta Hawks",124,107
"New York Knicks","Cleveland Cavaliers",130,116
"Houston Rockets","Detroit Pistons",121,115
"Memphis Grizzlies","Los Angeles Clippers",108,94
"Los Angeles Lakers","Minnesota Timberwolves",123,111
"Golden State Warriors","San Antonio Spurs",130,115
"Sacramento Kings","Portland Trail Blazers",138,114
"Phoenix Suns","Denver Nuggets",100,93
"Miami Heat","Dallas Mavericks",129,122
"New Orleans Pelicans","Los Angeles Clippers",122,114
"Toronto Raptors","Charlotte Hornets",128,108
"Brooklyn Nets","Utah Jazz",111,110
"Chicago Bulls","Memphis Grizzlies",128,107
"Portland Trail Blazers","Minnesota Timberwolves",107,105
"Atlanta Hawks","Dallas Mavericks",132,130
"New York Knicks","Washington Wizards",118,109
"Orlando Magic","Detroit Pistons",128,102
"San Antonio Spurs","Sacramento Kings",142,134
"Los Angeles Lakers","Houston Rockets",134,109
"Phoenix Suns","Oklahoma City Thunder",128,118
"Cleveland Cavaliers","Indiana Pacers",115,105
"Milwaukee Bucks","Philadelphia 76ers",117,104
"Denver Nuggets","Golden State Warriors",112,110
"Toronto Raptors","Charlotte Hornets",120,100
"Miami Heat","Detroit Pistons",118,105
"Cleveland Cavaliers","Orlando Magic",117,113
"Milwaukee Bucks","Washington Wizards",140,128
"Minnesota Timberwolves","Brooklyn Nets",107,102
"Atlanta Hawks","Chicago Bulls",123,105
"Houston Rockets","Denver Nuggets",124,103
"Memphis Grizzlies","Portland Trail Blazers",119,109
"Sacramento Kings","New Orleans Pelicans",121,103
"Philadelphia 76ers","Boston Celtics",103,101
"Los Angeles Lakers","Utah Jazz",135,133
"Golden State Warriors","Oklahoma City Thunder",136,125
"Phoenix Suns","San Antonio Spurs",115,94
"Brooklyn Nets","Detroit Pistons",123,108
"New York Knicks","Indiana Pacers",138,129
"Atlanta Hawks","Washington Wizards",134,116
"Boston Celtics","Toronto Raptors",97,93
"Milwaukee Bucks","Chicago Bulls",105,92
"New Orleans Pelicans","Memphis Grizzlies",138,131
"Dallas Mavericks","Sacramento Kings",123,119
"Los Angeles Clippers","Los Angeles Lakers",125,118
"Cleveland Cavaliers","Orlando Magic",118,94
"Miami Heat","Philadelphia 76ers",129,101
"San Antonio Spurs","Portland Trail Blazers",129,127
"Oklahoma City Thunder","Utah Jazz",114,98
"Phoenix Suns","Denver Nuggets",119,115
"Houston Rockets","Charlotte Hornets",112,109
"Detroit Pistons","Indiana Pacers",122,115
"Washington Wizards","Miami Heat",114,108
"Philadelphia 76ers","Atlanta Hawks",136,131
"Boston Celtics","Toronto Raptors",121,102
"Brooklyn Nets","Orlando Magic",101,84
"Memphis Grizzlies","Milwaukee Bucks",137,114
"New Orleans Pelicans","New York Knicks",113,105
"Chicago Bulls","Dallas Mavericks",115,112
"Golden State Warriors","Sacramento Kings",119,97
"Los Angeles Lakers","Phoenix Suns",121,107
"Utah Jazz","Denver Nuggets",118,114
"Los Angeles Clippers","Portland Trail Blazers",136,125
"Minnesota Timberwolves","San Antonio Spurs",151,131
"Boston Celtics","Atlanta Hawks",120,114
"Philadelphia 76ers","Brooklyn Nets",134,105
"Chicago Bulls","Detroit Pistons",103,81
"Charlotte Hornets","Cleveland Cavaliers",106,95
"Miami Heat","Orlando Magic",123,110
"Indiana Pacers","New York Knicks",141,136
"Toronto Raptors","Milwaukee Bucks",121,105
"Houston Rockets","Washington Wizards",114,109
"San Antonio Spurs","Dallas Mavericks",138,117
"Denver Nuggets","Sacramento Kings",109,95
"Los Angeles Lakers","Utah Jazz",128,117
"Minnesota Timberwolves","New Orleans Pelicans",113,108
"Oklahoma City Thunder","Memphis Grizzlies",115,100
"Los Angeles Clippers","Phoenix Suns",119,114
"Golden State Warriors","Portland Trail Blazers",157,101
