"x1","x2","price"
32,7,37.9
19.5,0,42.2
13.3,0,47.3
13.3,0,54.8
5,0,43.1
7.1,0,32.1
34.5,9.5,40.3
20.3,0,46.7
31.7,6.7,18.8
17.9,0,22.1
34.8,9.8,41.4
6.3,0,58.1
13,0,39.3
20.4,0,23.8
13.2,0,34.3
35.7,10.7,50.5
0,0,70.1
17.7,0,37.4
16.9,0,42.3
1.5,0,47.7
4.5,0,29.3
10.5,0,51.6
14.7,0,24.6
10.1,0,47.9
39.6,14.6,38.8
29.3,4.3,27
3.1,0,56.2
10.4,0,33.6
19.2,0,47
7.1,0,57.1
25.9,0.899999999999999,22.1
29.6,4.6,25
37.9,12.9,34.2
16.5,0,49.3
15.4,0,55.1
13.9,0,27.3
14.7,0,22.9
12,0,25.3
3.1,0,47.7
16.2,0,46.2
13.6,0,15.9
16.8,0,18.2
36.1,11.1,34.7
34.4,9.4,34.1
2.7,0,53.9
36.6,11.6,38.3
21.7,0,42
35.9,10.9,61.5
24.2,0,13.4
29.4,4.4,13.2
21.7,0,44.2
31.3,6.3,20.7
32.1,7.1,27
13.3,0,38.9
16.1,0,51.7
31.7,6.7,13.7
33.6,8.6,41.9
3.5,0,53.5
30.3,5.3,22.6
13.3,0,42.4
11,0,21.3
5.3,0,63.2
17.2,0,27.7
2.6,0,55
17.5,0,25.3
40.1,15.1,44.3
1,0,50.7
8.5,0,56.8
30.4,5.4,36.2
12.5,0,42
6.6,0,59
35.5,10.5,40.8
32.5,7.5,36.3
13.8,0,20
6.8,0,54.4
12.3,0,29.5
35.9,10.9,36.8
20.5,0,25.6
38.2,13.2,29.8
18,0,26.5
11.8,0,40.3
30.8,5.8,36.8
13.2,0,48.1
25.3,0.300000000000001,17.7
15.1,0,43.7
0,0,50.8
1.8,0,27
16.9,0,18.3
8.9,0,48
23,0,25.3
0,0,45.4
9.1,0,43.2
20.6,0,21.8
31.9,6.9,16.1
40.9,15.9,41
8,0,51.8
6.4,0,59.5
28.4,3.4,34.6
16.4,0,51
6.4,0,62.2
17.5,0,38.2
12.7,0,32.9
1.1,0,54.4
0,0,45.7
32.7,7.7,30.5
0,0,71
17.2,0,47.1
12.2,0,26.6
31.4,6.4,34.1
4,0,28.4
8.1,0,51.6
33.3,8.3,39.4
9.9,0,23.1
14.8,0,7.6
30.6,5.6,53.3
20.6,0,46.4
30.9,5.9,12.2
13.6,0,13
25.3,0.300000000000001,30.6
16.6,0,59.6
13.3,0,31.3
13.6,0,48
31.5,6.5,32.5
0,0,45.5
9.9,0,57.4
1.1,0,48.6
38.6,13.6,62.9
3.8,0,55
41.3,16.3,60.7
38.5,13.5,41
29.6,4.6,37.5
4,0,30.7
26.6,1.6,37.5
18,0,39.5
33.4,8.4,42.2
18.9,0,20.8
11.4,0,46.8
13.6,0,47.4
10,0,43.5
12.9,0,42.5
16.2,0,51.4
5.1,0,28.9
19.8,0,37.5
13.6,0,40.1
11.9,0,28.4
2.1,0,45.5
0,0,52.2
3.2,0,43.2
16.4,0,45.1
34.9,9.9,39.7
35.8,10.8,48.5
4.9,0,44.7
12,0,28.9
6.5,0,40.9
16.9,0,20.7
13.8,0,15.6
30.7,5.7,18.3
16.1,0,35.6
11.6,0,39.4
15.5,0,37.4
3.5,0,57.8
19.2,0,39.6
16,0,11.6
8.5,0,55.5
0,0,55.2
13.7,0,30.6
0,0,73.6
28.2,3.2,43.4
27.6,2.6,37.4
8.4,0,23.5
24,0,14.4
3.6,0,58.8
6.6,0,58.1
41.3,16.3,35.1
4.3,0,45.2
30.2,5.2,36.5
13.9,0,19.2
33,8,42
13.1,0,36.7
14,0,42.6
26.9,1.9,15.5
11.6,0,55.9
13.5,0,23.6
17,0,18.8
14.1,0,21.8
31.4,6.4,21.5
20.9,0,25.7
8.9,0,22
34.8,9.8,44.3
16.3,0,20.5
35.3,10.3,42.3
13.2,0,37.8
43.8,18.8,42.7
9.7,0,49.3
15.2,0,29.3
15.2,0,34.6
22.8,0,36.6
34.4,9.4,48.2
34,9,39.1
18.2,0,31.6
17.4,0,25.5
13.1,0,45.9
38.3,13.3,31.5
15.6,0,46.1
18,0,26.6
12.8,0,21.4
22.2,0,44
38.5,13.5,34.2
11.5,0,26.2
34.8,9.8,40.9
5.2,0,52.2
0,0,43.5
17.6,0,31.1
6.2,0,58
18.1,0,20.9
19.2,0,48.1
37.8,12.8,39.7
28,3,40.8
13.6,0,43.8
29.3,4.3,40.2
37.2,12.2,78.3
9,0,38.5
30.6,5.6,48.5
9.1,0,42.3
34.5,9.5,46
1.1,0,49
16.5,0,12.8
32.4,7.4,40.2
11.9,0,46.6
31,6,19
4,0,33.4
16.2,0,14.7
27.1,2.1,17.4
39.7,14.7,32.4
8,0,23.9
12.9,0,39.3
3.6,0,61.9
13,0,39
12.8,0,40.6
18.1,0,29.7
11,0,28.8
13.7,0,41.4
2,0,33.4
32.8,7.8,48.2
4.8,0,21.7
7.5,0,40.8
16.4,0,40.6
21.7,0,23.1
19,0,22.3
18,0,15
39.2,14.2,30
31.7,6.7,13.8
5.9,0,52.7
30.4,5.4,25.9
1.1,0,51.8
31.5,6.5,17.4
14.6,0,26.5
17.3,0,43.9
0,0,63.3
17.7,0,28.8
17,0,30.7
16.2,0,24.4
15.9,0,53
3.9,0,31.7
32.6,7.6,40.6
15.7,0,38.1
17.8,0,23.7
34.7,9.7,41.1
17.2,0,40.1
17.6,0,23
10.8,0,117.5
17.7,0,26.5
13,0,40.5
13.2,0,29.3
27.5,2.5,41
1.5,0,49.7
19.1,0,34
21.2,0,27.7
0,0,44
2.6,0,31.1
2.3,0,45.4
4.7,0,44.8
2,0,25.6
33.5,8.5,23.5
15,0,34.4
30.1,5.1,55.3
5.9,0,56.3
19.2,0,32.9
16.6,0,51
13.9,0,44.5
37.7,12.7,37
3.4,0,54.4
17.5,0,24.5
12.6,0,42.5
26.4,1.4,38.1
18.2,0,21.8
12.5,0,34.1
34.9,9.9,28.5
16.7,0,16.7
33.2,8.2,46.1
2.5,0,36.9
38,13,35.7
16.5,0,23.2
38.3,13.3,38.4
20,0,29.4
16.2,0,55
14.4,0,50.2
10.3,0,24.7
16.4,0,53
30.3,5.3,19.1
16.4,0,24.7
21.3,0,42.2
35.4,10.4,78
8.3,0,42.8
3.7,0,41.6
15.6,0,27.3
13.3,0,42
15.6,0,37.5
7.1,0,49.8
34.6,9.6,26.9
13.5,0,18.6
16.9,0,37.7
12.9,0,33.1
28.6,3.6,42.5
12.4,0,31.3
36.6,11.6,38.1
4.1,0,62.1
3.5,0,36.7
15.9,0,23.6
13.6,0,19.2
32,7,12.8
25.6,0.600000000000001,15.6
39.8,14.8,39.6
7.8,0,38.4
30,5,22.8
27.3,2.3,36.5
5.1,0,35.6
31.3,6.3,30.9
31.5,6.5,36.3
1.7,0,50.4
33.6,8.6,42.9
13,0,37
5.7,0,53.5
33.5,8.5,46.6
34.6,9.6,41.2
0,0,37.9
13.2,0,30.8
17.4,0,11.2
4.6,0,53.7
7.8,0,47
13.2,0,42.3
4,0,28.6
18.4,0,25.7
4.1,0,31.3
12.2,0,30.1
3.8,0,60.7
10.3,0,45.3
0,0,44.9
1.1,0,45.1
5.6,0,24.7
32.9,7.9,47.1
41.4,16.4,63.3
17.1,0,40
32.3,7.3,48
35.3,10.3,33.1
17.3,0,29.5
14.2,0,24.8
15,0,20.9
18.2,0,43.1
20.2,0,22.8
15.9,0,42.1
4.1,0,51.7
33.9,8.9,41.5
0,0,52.2
5.4,0,49.5
21.7,0,23.8
14.7,0,30.5
3.9,0,56.8
37.3,12.3,37.4
0,0,69.7
14.1,0,53.3
8,0,47.3
16.3,0,29.3
29.1,4.1,40.3
16.1,0,12.9
18.3,0,46.6
0,0,55.3
16.2,0,25.6
10.4,0,27.3
40.9,15.9,67.7
32.8,7.8,38.6
6.2,0,31.3
42.7,17.7,35.3
16.9,0,40.3
32.6,7.6,24.7
21.2,0,42.5
37.1,12.1,31.9
13.1,0,32.2
14.7,0,23
12.7,0,37.3
26.8,1.8,35.5
7.6,0,27.7
12.7,0,28.5
30.9,5.9,39.7
16.4,0,41.2
23,0,37.2
1.9,0,40.5
5.2,0,22.3
18.5,0,28.1
13.7,0,15.4
5.6,0,50
18.8,0,40.6
8.1,0,52.5
6.5,0,63.9
